# t (s),mx (A/m),my (A/m),mz (A/m),B_extx (T),B_exty (T),B_extz (T),E_total (J),E_anis (J),E_exch (J),E_demag (J),E_Zeeman (J)
0,5.10E-02,-2.36E+00,-9539.978337,0,0,0,1.59E-16,0,8.09E-17,7.82E-17,0
0,12492.19296,-1.06E+00,-9541.112922,0.001,0,0,1.59E-16,0,8.09E-17,7.82E-17,-2.46E-20
0,28999.8216,-2.65E-01,-9545.50899,0.002,0,0,1.59E-16,0,8.08E-17,7.84E-17,-1.14E-19
0,60479.3142,-8.41E-02,-9572.585985,0.003,0,0,1.59E-16,0,8.08E-17,7.85E-17,-3.57E-19
0,80192.64906,-4.17E-02,-9563.53581,0.004,0,0,1.59E-16,0,8.09E-17,7.86E-17,-6.31E-19
0,94258.87992,-3.29E-02,-9541.456974,0.004999999,0,0,1.59E-16,0,8.09E-17,7.87E-17,-9.27E-19
0,108018.383,-2.40E-02,-9518.42943,0.006000001,0,0,1.58E-16,0,8.09E-17,7.88E-17,-1.27E-18
0,126366.9224,-2.44E-02,-9505.332198,0.007,0,0,1.58E-16,0,8.09E-17,7.90E-17,-1.74E-18
0,147418.9564,-2.60E-02,-9540.058707,0.008,0,0,1.58E-16,0,8.09E-17,7.93E-17,-2.32E-18
0,167177.9619,-2.81E-02,-9566.496846,0.009,0,0,1.58E-16,0,8.10E-17,7.96E-17,-2.96E-18
0,186352.1919,-2.46E-02,-9542.16081,0.009999999,0,0,1.57E-16,0,8.10E-17,7.99E-17,-3.66E-18
0,205028.7503,-2.30E-02,-9491.904423,0.011,0,0,1.57E-16,0,8.11E-17,8.03E-17,-4.43E-18
0,225076.6467,-1.87E-02,-9472.289697,0.012000001,0,0,1.56E-16,0,8.12E-17,8.06E-17,-5.31E-18
0,240155.0334,-2.21E-02,-9487.49211,0.012999998,0,0,1.56E-16,0,8.12E-17,8.10E-17,-6.14E-18
0,254653.5762,-1.95E-02,-9506.188053,0.014,0,0,1.56E-16,0,8.12E-17,8.13E-17,-7.01E-18
0,272900.7981,-1.68E-02,-9512.286084,0.015,0,0,1.55E-16,0,8.13E-17,8.18E-17,-8.05E-18
0,300435.2694,-1.75E-02,-9465.6708,0.016,0,0,1.54E-16,0,8.13E-17,8.26E-17,-9.45E-18
0,320991.8292,-1.01E-02,-9444.041523,0.017000003,0,0,1.54E-16,0,8.15E-17,8.31E-17,-1.07E-17
0,334796.8302,-5.62E-03,-9436.71024,0.018,0,0,1.53E-16,0,8.16E-17,8.35E-17,-1.18E-17
0,347725.3707,-1.35E-02,-9431.020044,0.019,0,0,1.53E-16,0,8.16E-17,8.39E-17,-1.30E-17
