# t (s),mx (),my (),mz (),B_extx (T),B_exty (T),B_extz (T),E_total (J),E_anis (J),E_exch (J),E_demag (J),E_Zeeman (J)
0,0.473819196,-5.86E-07,1.12E-20,0,0,0,1.25E-17,0,9.88E-19,1.15E-17,0
0,0.474292805,-5.94E-09,-1.06E-27,0.001,0,0,1.16E-17,0,9.72E-19,1.15E-17,-9.32E-19
0,0.474756394,-4.23E-09,3.26E-36,0.002,0,0,1.07E-17,0,9.56E-19,1.16E-17,-1.87E-18
0,0.475209644,-3.54E-09,1.14E-39,0.003,0,0,9.72E-18,0,9.41E-19,1.16E-17,-2.80E-18
0,0.475653388,-4.21E-09,0,0.004,0,0,8.79E-18,0,9.25E-19,1.16E-17,-3.74E-18
0,0.476087528,-4.08E-09,0,0.004999999,0,0,7.85E-18,0,9.09E-19,1.16E-17,-4.68E-18
0,0.47651275,-1.70E-09,0,0.006000001,0,0,6.91E-18,0,8.94E-19,1.16E-17,-5.62E-18
0,0.476929373,-3.57E-09,0,0.007,0,0,5.98E-18,0,8.78E-19,1.17E-17,-6.56E-18
0,0.477337861,-3.08E-09,0,0.008,0,0,5.04E-18,0,8.63E-19,1.17E-17,-7.51E-18
0,0.477738191,-2.34E-09,0,0.009,0,0,4.10E-18,0,8.48E-19,1.17E-17,-8.45E-18
0,0.478130975,-2.99E-09,0,0.009999999,0,0,3.16E-18,0,8.32E-19,1.17E-17,-9.40E-18
0,0.478516507,-2.97E-09,0,0.011,0,0,2.22E-18,0,8.17E-19,1.18E-17,-1.03E-17
0,0.478894959,-2.63E-09,0,0.012000001,0,0,1.28E-18,0,8.02E-19,1.18E-17,-1.13E-17
0,0.479266374,-1.91E-09,0,0.012999998,0,0,3.37E-19,0,7.87E-19,1.18E-17,-1.22E-17
0,0.479631306,-1.70E-09,0,0.014,0,0,-6.06E-19,0,7.72E-19,1.18E-17,-1.32E-17
0,0.479990084,-1.33E-09,0,0.015,0,0,-1.55E-18,0,7.57E-19,1.18E-17,-1.42E-17
0,0.480342624,-2.46E-09,0,0.016,0,0,-2.49E-18,0,7.42E-19,1.19E-17,-1.51E-17
0,0.48068951,-1.71E-09,0,0.017000003,0,0,-3.44E-18,0,7.27E-19,1.19E-17,-1.61E-17
0,0.48103055,-1.54E-09,0,0.018,0,0,-4.38E-18,0,7.12E-19,1.19E-17,-1.70E-17
0,0.481366362,-1.85E-09,0,0.019,0,0,-5.33E-18,0,6.97E-19,1.20E-17,-1.80E-17
0,0.481697048,-5.70E-11,0,0.019999998,0,0,-6.28E-18,0,6.82E-19,1.20E-17,-1.89E-17
0,0.482022506,-8.38E-10,0,0.021,0,0,-7.22E-18,0,6.68E-19,1.20E-17,-1.99E-17
0,0.482343343,-1.11E-09,0,0.022,0,0,-8.17E-18,0,6.53E-19,1.20E-17,-2.09E-17
0,0.482659457,-1.23E-09,0,0.023,0,0,-9.12E-18,0,6.38E-19,1.21E-17,-2.18E-17
0,0.482971195,-3.82E-10,0,0.024000002,0,0,-1.01E-17,0,6.23E-19,1.21E-17,-2.28E-17
0,0.483278768,2.68E-09,0,0.025000002,0,0,-1.10E-17,0,6.08E-19,1.21E-17,-2.38E-17
0,0.483582225,-7.13E-10,0,0.025999997,0,0,-1.20E-17,0,5.94E-19,1.22E-17,-2.47E-17
0,0.483881909,3.07E-10,0,0.026999999,0,0,-1.29E-17,0,5.79E-19,1.22E-17,-2.57E-17
0,0.484177644,-8.56E-10,0,0.027999999,0,0,-1.39E-17,0,5.64E-19,1.22E-17,-2.67E-17
0,0.484469811,-4.96E-10,0,0.029,0,0,-1.48E-17,0,5.50E-19,1.22E-17,-2.76E-17
0,0.484758421,1.05E-10,0,0.03,0,0,-1.58E-17,0,5.35E-19,1.23E-17,-2.86E-17
0,0.485043895,-3.20E-09,0,0.031000001,0,0,-1.67E-17,0,5.20E-19,1.23E-17,-2.96E-17
0,0.485326331,-2.35E-09,0,0.032,0,0,-1.77E-17,0,5.06E-19,1.23E-17,-3.05E-17
0,0.485605729,-5.66E-09,0,0.032999996,0,0,-1.86E-17,0,4.91E-19,1.24E-17,-3.15E-17
0,0.485881942,-8.60E-09,0,0.034000006,0,0,-1.96E-17,0,4.76E-19,1.24E-17,-3.25E-17
0,0.486154921,-3.23E-08,0,0.035,0,0,-2.05E-17,0,4.62E-19,1.24E-17,-3.35E-17
0,0.486389925,-2.55E-07,0,0.036,0,0,-2.15E-17,0,4.49E-19,1.25E-17,-3.44E-17
0,0.486440101,-1.04E-07,0,0.037,0,0,-2.25E-17,0,4.43E-19,1.25E-17,-3.54E-17
0,0.486487778,-7.90E-08,0,0.038,0,0,-2.34E-17,0,4.37E-19,1.25E-17,-3.63E-17
0,0.486534671,-6.20E-08,0,0.039,0,0,-2.44E-17,0,4.31E-19,1.25E-17,-3.73E-17
0,0.486580765,-4.60E-08,0,0.039999995,0,0,-2.53E-17,0,4.26E-19,1.25E-17,-3.83E-17
0,0.48662612,-3.81E-08,0,0.041000005,0,0,-2.63E-17,0,4.20E-19,1.25E-17,-3.92E-17
0,0.486670778,-3.50E-08,0,0.042,0,0,-2.72E-17,0,4.15E-19,1.25E-17,-4.02E-17
0,0.486714697,-3.07E-08,0,0.043000005,0,0,-2.82E-17,0,4.09E-19,1.25E-17,-4.11E-17
0,0.486757866,-2.73E-08,0,0.044,0,0,-2.92E-17,0,4.04E-19,1.25E-17,-4.21E-17
0,0.486800398,-2.36E-08,0,0.045,0,0,-3.01E-17,0,3.99E-19,1.26E-17,-4.31E-17
